1, candle, home goods, 12.00, 20
2, flower boquet, flowers, 30.00, 10
3, tennis shoes, clothing and shoes, 35.00, 5
4, necklace, jewelry, 75.00, 2
5, $20 gift card, gift cards, 20.00, 100
6, fitness tracker, electronics, 60.00, 6
7, cologne, beauty, 40.00, 3
8, apple, food, 1.00, 15
9, suitcase, travel, 65.00, 1
10, diamond ring, jewelry, 200.00, 0
11, cutting board, kitchen, 22.00, 7
12, novelty socks, clothing, 5.00, 11
13, paint set, arts and crafts, 18.00, 4
14, dog food, pets, 2.00, 23
15, dictionary, books, 12.00, 0